Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Japan,JPN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16333.6748183565,16801.9250305932,17370.6165468128,18120.7284269863,18953.3339136853,19334.3747441799,20011.8292508515,20525.2958514217,21122.9648423607,21912.1518618966,22898.9942415029,23527.7125188746,24503.0845657844,26026.8648821365,27199.9399695936,28422.2131194472,29308.2740881269,29462.6539671073,29232.4397928009,29466.7552451648,30171.1637924153,31046.1701544217,31276.1930771989,30795.0888900919,30636.2661169604,31430.631130325,31476.0520665746,31416.1241772309,31830.217584972,32515.1158024695,33098.5474664881,33531.518563066,33990.0360341367,33557.6454041595,31651.0837739562,32942.2020783835,33011.1342301291,33518.4449368599,34239.8862473488,34386.9058552671,34960.6393843385,35242.199377148,35861.9728545672,36138.5290824814,36043.7844013518,34642.9718743239,35741.1601062924,36238.3294895302,36952.5150709861,37152.5636003552
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0203,0.0404,0.0967,0.401,0.8,1.59,4.37,9.16,13.4,21.4,29.9907,38.5321,46.5942,48.4353,62.3939,66.9211,68.6853,74.3,75.4,78,78.21,79.0541,79.4964,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195,82.9141,84.9234,86.9815,..
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.8511067264535,75.9718496490584,76.0333398797102,76.0764616511381,76.1171567691576,76.172396260342,76.2503223945228,76.3474944329034,76.4572744627542,76.5743728196347,76.6930644715793,76.81341381908,76.9402952490325,77.072111271414,77.2063887541774,77.3404178010312,77.4744816932723,77.6108029675096,77.7480283183434,77.8843368177677,78.0190838015653,78.1374047267253,78.2318902291629,78.3266396189341,78.448341899402,78.6126803295375,79.1577482060887,80.5469860733981,82.4206778416671,84.3710541898905,85.9573620483714,87.1460898958075,88.2701404492656,89.2921563808851,90.1131158718189,90.6228586840649,90.8631654434251,91.0265277326652,91.1516595654317,91.2548945132333,91.3532644103625,91.4541254852142,91.5498419685883,91.6377318609728,91.7164207898107,91.7809926267889,91.8741049279527,91.9776532428406,92.0826903891473,92.1901718034531
Japan,JPN,"Population, total",SP.POP.TOTL,111573000,112775000,113872000,114913000,115890000,116807000,117661000,118480000,119307000,120083000,120837000,121482000,122069000,122578000,123069000,123478000,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,123975371
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,101.781173706055,101.813980102539,102.200416564941,101.167999267578,101.882888793945,102.425148010254,102.670066833496,102.844802856445,102.155380249023,102.337966918945,102.344436645508,..
Myanmar,MMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,145.457960081305,151.381528103762,157.337620357431,164.358420133522,169.599433101241,179.588600930675,187.43997350101,194.360862268612,198.97314350451,204.50394396227,206.179024171186,200.215576808079,188.871667529886,164.700416641961,168.113854207283,170.233436728781,166.71043994981,180.333227419724,188.680525347254,200.124788544139,211.265635947401,222.01335977894,231.587954119212,242.132148134742,265.455335148419,298.590464510138,328.973872713504,364.855800197477,411.498764127557,463.33013572168,522.099544791815,586.085579935448,651.729730899198,714.620419027129,785.634853168658,854.932478027749,895.512538762631,953.123081936485,1024.69060474658,1099.24387751605,1166.73305547935,1225.37913972668,1290.56409027458,1361.56831265985,1440.98988238708,1301.3138635245,1136.99566055698,1174.76697947364,1177.76649647177,1158.47928099316
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,0.000152,..,0.000289277,0.000426494,0.0240641,0.0243374,0.0652389,0.182048,0.217128,0.22,0.22,0.25,0.98,1.4,1.8,7.4,10.9,16,23.6211,29.379,36.5405,45.4477,56.5261,58.0112,58.5357,..
Myanmar,MMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.1623199252207,24.2535706271636,24.3348412539529,24.4101419767128,24.4834829665675,24.5588743946411,24.6403264320579,24.7318492499419,24.8370497795693,24.953374109342,25.0778443553106,25.2100081538473,25.349269938734,25.4950341437524,25.6467052026843,25.8036875493115,25.9653856174157,26.1312038407788,26.3005466531825,26.4728184884086,26.6474237802388,26.823766962455,27.001252468839,27.1792847331724,27.3572681892371,27.5346072708149,27.7107064116875,27.8849700456368,28.0568026064444,28.2256085278922,28.390792243762,28.5517581878355,28.7079107938945,28.8586544957208,29.0033937270962,29.1415329218024,29.2724765136213,29.3956289363345,29.5103946237239,29.6164342116462,29.7166821191682,29.8129165582094,29.9051727703437,29.993574050729,30.0782436945232,30.1593049968842,30.2368812529698,30.311095757938,30.3820718069466,30.4499084074136
Myanmar,MMR,"Population, total",SP.POP.TOTL,30176565,30758811,31355966,31972976,32596550,33227204,33858783,34482965,35162715,35899313,36622827,37314878,37971594,38600927,39214618,39817251,40394154,40950342,41502429,42055143,42605338,43154860,43708798,44257793,44787724,45290841,45771139,46232653,46667192,47068772,47438365,47785135,48125043,48390793,48660459,49024382,49419820,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
